Symbol	Bader_receptor	FANTOM5_receptor	CellTalk_receptor	Bader_ligand	FANTOM5_ligand	CellTalk_ligand
Mmp10	0	0	0	1	0	0
Mmp11	0	0	0	1	0	0
Mmp12	0	0	0	0	1	1
Mmp13	0	0	0	1	1	1
Olfr520	1	0	0	0	0	0
Lefty2	0	0	0	1	1	1
Mmp19	0	0	0	1	0	0
Lefty1	0	0	0	1	0	1
Lilra6	1	0	0	0	0	0
Klrb1a	1	0	0	0	0	0
Klrb1b	1	0	1	0	0	0
Rfng	0	0	0	1	0	0
Aldoa	0	0	0	1	0	0
Alk	1	1	1	0	0	0
Tph1	0	0	0	0	1	0
Ptx3	0	0	0	1	0	0
Ptx4	0	0	0	1	0	0
Mchr1	1	1	1	0	0	0
Itga10	1	1	0	0	0	0
Itga11	1	1	0	0	0	0
Olfr419	1	0	0	0	0	0
Olfr418	1	0	0	0	0	0
Olfr417	1	0	0	0	0	0
Olfr414	1	0	0	0	0	0
Olfr412	1	0	0	0	0	0
Cd5l	1	0	0	0	1	0
Olfr410	1	0	0	0	0	0
Trdn	1	0	0	0	0	0
Olfr574	1	0	0	0	0	0
Klk1b16	0	0	0	1	1	0
Klk1b11	0	0	0	1	1	0
Olfr631	1	0	0	0	0	0
Jam3	1	0	0	0	0	1
Flvcr1	1	0	0	0	0	0
Olfr1111	1	0	0	0	0	0
Pdgfc	0	0	0	1	1	1
Il1rap	1	1	1	0	0	0
Nr1d1	1	0	0	0	0	0
Nr1d2	1	0	0	0	0	0
Olfr571	1	0	0	0	0	0
Egflam	0	0	0	1	0	0
Nme1	0	0	0	1	0	0
Nme2	0	0	0	1	0	0
Ccbe1	0	0	1	1	0	0
Acvr1b	1	1	1	0	0	0
Rhbdf2	0	0	1	0	0	0
Mbl2	0	0	0	1	1	0
Tacr3	1	1	1	0	0	0
Tacr2	1	1	1	0	0	0
Tacr1	1	1	1	0	0	0
Olfr1157	1	0	0	0	0	0
Pgrmc2	1	0	0	0	0	0
Pgrmc1	0	1	0	0	0	0
Oxt	0	0	0	1	1	1
Olfr1099	1	0	0	0	0	0
Selplg	1	0	0	0	1	1
H2-Ea	1	0	0	0	0	0
P3h2	0	0	0	0	0	0
P3h1	0	0	0	0	0	0
Vangl1	0	1	0	0	0	0
Fuca2	0	0	0	1	0	0
Olfr1020	1	0	0	0	0	0
Olfr1022	1	0	0	0	0	0
Olfr1023	1	0	0	0	0	0
Il11ra1	1	1	1	0	0	0
Olfr1029	1	0	0	0	0	0
Scn10a	0	1	1	0	0	0
Il11ra2	1	1	0	0	0	0
Cst8	0	0	0	1	0	0
Cst9	0	0	0	1	0	0
Cst3	0	0	0	1	0	1
Cst6	0	0	0	1	0	0
Cst7	0	0	0	1	0	0
Retnlb	0	0	0	1	0	0
Sostdc1	0	0	0	1	0	1
Gkn1	0	0	0	1	0	0
Gkn2	0	0	0	1	0	0
Rspry1	0	0	0	1	0	0
Dmp1	0	0	0	1	0	1
Fcgbp	0	0	0	1	0	0
Pcolce	0	0	0	1	0	0
Adipor2	1	1	1	0	0	0
Musk	1	1	1	0	0	0
Il5ra	1	1	1	0	0	0
Creg1	0	0	0	1	0	0
Creg2	0	0	0	1	0	0
Mmp21	0	0	0	1	0	0
Adipor1	1	1	1	0	0	0
Scgb3a1	0	0	0	1	1	0
Scgb3a2	0	0	0	1	1	0
Npc1l1	1	0	0	0	0	0
Pnoc	0	0	0	1	1	1
Apoc2	0	0	0	1	0	0
Gm14548	1	0	0	0	0	0
Fga	0	0	0	1	1	1
Fgb	0	0	0	1	1	1
Kiss1r	1	1	0	0	0	0
Tgm2	0	0	0	0	1	1
Tgm4	0	0	0	0	0	0
Prl2c2	0	0	0	0	0	1
Olfr671	1	0	0	0	0	0
Abhd15	0	0	0	1	0	0
Olfr684	1	0	0	0	0	0
Ap2m1	0	0	0	1	0	0
Adcyap1r1	1	1	1	0	0	0
Nppb	0	0	0	0	0	1
Nppc	0	0	0	1	1	1
Nppa	0	0	0	1	1	1
2300002M23Rik	0	0	0	1	1	0
Chad	0	0	0	1	1	1
Vim	0	0	0	0	1	1
Vip	0	0	0	1	1	1
Il3ra	1	1	1	0	0	0
Lamp1	0	1	1	0	0	0
Ebi3	1	0	0	0	1	1
Tmem67	0	1	1	0	0	0
Ephb2	1	1	1	0	0	0
Nodal	0	0	0	1	1	1
Cd276	1	0	0	0	0	0
Ptprz1	1	1	1	0	0	0
Htr2a	1	1	1	0	0	0
Vwce	0	0	0	1	0	0
Htr2c	1	1	1	0	0	0
Cer1	0	0	0	1	0	0
Bdkrb1	1	1	0	0	0	0
Ptpn11	0	0	0	0	0	1
Bdkrb2	1	1	0	0	0	0
Notch4	1	1	1	0	0	0
Tshb	0	0	0	1	1	0
Cel	0	0	0	1	1	1
Pros1	0	0	0	0	1	1
Notch1	1	1	1	0	0	0
Notch2	1	1	1	0	0	0
Notch3	1	1	1	0	0	0
Olfr692	1	0	0	0	0	0
Plxnd1	1	1	1	0	0	0
Ahsg	0	0	0	1	1	1
Rara	1	0	0	0	0	0
Olfml2b	0	0	0	1	0	0
Vwc2	1	0	0	1	0	0
Rarb	1	0	0	0	0	0
Col7a1	0	0	0	1	1	0
Rarg	1	0	0	0	0	0
St6gal1	0	0	0	1	0	1
Fbn2	0	0	0	1	0	0
Fbn1	0	0	0	1	1	1
Kremen2	0	1	1	0	0	0
Rnaset2a	0	0	0	1	0	0
Wnt5b	0	0	0	1	0	1
Wnt5a	0	0	0	1	1	1
P2ry1	1	0	0	0	0	0
P2ry6	1	0	0	0	0	0
Olfr172	1	0	0	0	0	0
P2ry4	1	0	0	0	0	0
Kcnd1	0	1	1	0	0	0
Sstr1	1	1	1	0	0	0
Kcnd2	0	1	1	0	0	0
Sec14l3	0	0	0	1	0	0
Nbl1	0	0	0	1	0	0
Olfr177	1	0	0	0	0	0
Prss58	0	0	0	1	0	0
Adm2	0	0	0	1	1	1
Tecta	0	0	1	0	0	0
Rspo2	0	0	0	1	1	1
Rspo1	0	0	0	1	1	1
Tectb	0	0	1	0	0	0
Rspo4	0	0	0	1	1	1
Cilp	0	0	0	1	0	0
Acvr2a	1	1	1	0	0	0
Arsg	0	0	0	1	0	0
Ces5a	0	0	0	1	0	0
Procr	1	1	1	0	0	0
Ncam1	0	0	0	0	1	1
Il22ra2	1	1	1	0	0	0
Il22ra1	1	1	1	0	0	0
Tnfrsf12a	1	1	1	0	0	0
Kiss1	0	0	0	1	1	0
Olfr701	1	0	0	0	0	0
Znrf3	1	1	1	0	0	0
Fgf18	0	0	0	1	1	1
Fgf13	1	0	0	1	1	1
Fgf12	0	0	0	1	1	1
Fgf11	0	0	0	1	1	1
Fgf10	0	0	0	1	1	1
Col2a1	0	0	0	1	1	1
Fgf16	0	0	0	1	1	1
Fgf15	0	0	0	1	1	1
Fgf14	0	0	0	1	1	1
Spesp1	0	0	0	1	0	0
Gabrg3	1	0	0	0	0	0
Gabrg2	1	0	0	0	0	0
Gabrg1	1	0	0	0	0	0
Lmcd1	0	0	0	0	0	0
Bmpr1a	1	1	1	0	0	0
Bmpr1b	1	1	1	0	0	0
Kl	1	0	1	0	0	0
Gm10499	1	0	0	0	1	0
Nckap1l	1	0	0	0	0	0
Olfr314	1	0	0	0	0	0
Cd48	1	1	0	0	0	0
Olfr316	1	0	0	0	0	0
Olfr318	1	0	0	0	0	0
Cd44	1	1	1	0	0	0
Cd47	1	1	1	0	0	0
Cd46	1	1	1	0	0	0
Cd40	1	1	1	0	0	0
Oprm1	1	1	1	0	0	0
Mdga1	1	0	0	0	0	0
Tapt1	1	0	0	0	0	0
Ocln	0	1	0	0	0	0
Gfer	0	0	0	1	0	0
Gm94	0	0	0	1	0	0
Chrd	0	0	0	1	0	0
Dscam	0	0	0	0	1	1
Olfr2	1	0	0	0	0	0
Reg3b	0	0	0	1	0	0
Shisa6	1	0	0	0	0	0
Dkk4	0	0	0	1	0	1
Dkk2	0	0	0	1	1	1
