Symbol	Bader_receptor	FANTOM5_receptor	CellTalk_receptor	Bader_ligand	FANTOM5_ligand	CellTalk_ligand
Cga	0	0	0	1	1	0
Slc9a3r1	0	0	0	1	0	0
Nr2f6	1	0	0	0	0	0
Nr2f1	1	0	0	0	0	0
Nr2f2	1	0	0	0	0	0
Asgr1	1	1	0	0	0	0
Asgr2	1	1	0	0	0	0
Npy	1	0	0	1	1	1
Csn2	0	0	0	1	0	0
Csn3	0	0	0	1	0	0
Olfr95	1	0	0	0	0	0
Olfr96	1	0	0	0	0	0
Olfr90	1	0	0	0	0	0
Olfr91	1	0	0	0	0	0
Nps	0	0	0	1	1	1
Vwa7	0	0	0	1	0	0
Vwa2	0	0	0	1	0	0
Vwa1	0	0	0	1	0	0
Olfr76	1	0	0	0	0	0
Olfr73	1	0	0	0	0	0
Gnrh1	0	0	0	1	1	1
Ptch2	1	1	1	0	0	0
Trpv4	1	0	0	0	0	0
Ptch1	1	1	1	0	0	0
Trpv1	1	0	1	0	0	0
Trpv3	1	0	0	0	0	0
Lrp1b	1	0	1	0	1	0
Hrh4	1	1	0	0	0	0
Hrh2	1	1	0	0	0	0
Hrh3	1	1	0	0	0	0
Hrh1	1	1	0	0	0	0
Alkal2	0	0	0	0	0	1
Kcnh5	1	0	0	0	0	0
Kcnh4	1	0	0	0	0	0
Crcp	1	0	0	0	0	0
Kcnh1	1	0	0	0	0	0
Kcnh3	1	0	0	0	0	0
Kcnh2	1	0	0	0	0	0
Cd109	0	1	0	0	0	0
Ggt5	1	0	0	0	0	0
Kcnh8	1	0	0	0	0	0
Tnfrsf10b	1	1	1	0	0	0
Scube1	0	0	0	1	0	0
Mc4r	1	1	1	0	0	0
Ptprcap	1	0	0	0	0	0
Flt3l	0	0	0	1	1	1
Rdh8	1	0	0	0	0	0
Olfr504	1	0	0	0	0	0
Gpha2	0	0	0	1	1	0
Cmtm2b	1	0	0	0	0	0
Npbwr1	1	1	1	0	0	0
Phex	0	1	1	0	0	0
Uts2	0	0	0	1	1	1
Kctd16	1	0	0	0	0	0
Cx3cr1	1	1	1	0	0	0
Lrrn2	1	0	0	0	0	0
Il12a	0	0	0	1	1	1
Adgrd1	1	0	0	0	0	0
Prl2a1	0	0	0	0	0	1
Col1a2	0	0	0	1	1	1
Gdnf	0	0	0	1	1	1
Fgf9	0	0	0	1	1	1
Col1a1	0	0	0	1	1	1
Fgf7	0	0	0	1	1	1
Fgf6	0	0	0	1	1	1
Fgf5	0	0	0	1	1	1
Fgf4	0	0	0	1	1	1
Fgf3	0	0	0	1	1	1
Fgf2	0	0	0	1	1	1
Fgf1	0	0	0	1	1	1
Ptpru	1	1	0	0	0	0
Cd28	1	1	1	0	0	0
Ptprs	1	1	1	0	0	0
Serpina5	0	0	0	1	0	0
Serpina6	0	0	0	1	0	0
Serpina7	0	0	0	1	1	0
Serpina9	0	0	0	1	0	0
Olfr330	1	0	0	0	0	0
Olfr331	1	0	0	0	0	0
Cd27	1	1	1	0	0	0
Olfr508	1	0	0	0	0	0
Ptprg	1	1	0	0	0	0
Ptprf	1	1	0	0	0	0
Ptpre	1	0	0	0	0	0
Bmp10	0	0	0	1	1	1
Ptprc	1	0	0	0	0	0
Apln	0	0	0	1	1	1
Ptpra	1	1	0	0	0	0
Ptpro	1	0	0	0	0	0
Ptprm	1	1	1	0	0	0
Olfr111	1	0	0	0	0	0
Ptprk	1	0	0	0	0	0
Ptprj	1	0	1	0	0	0
Ptprh	1	0	0	0	0	0
Gria1	1	0	0	0	0	0
Grp	0	0	0	1	1	1
Odam	0	0	0	1	0	0
Ret	1	1	1	0	0	0
Relt	1	0	0	0	0	0
Olfr196	1	0	0	0	0	0
Gpr22	1	0	0	0	0	0
Olfr195	1	0	0	0	0	0
Reln	1	0	0	1	1	1
Olfr191	1	0	0	0	0	0
Grn	0	0	0	1	0	1
Lmbr1l	1	1	0	0	0	0
Prl7a2	0	0	0	0	0	1
Olfr198	1	0	0	0	0	0
Cntf	0	0	0	1	1	1
Hrg	0	0	0	0	0	1
Olfr420	1	0	0	0	0	0
H2-T23	1	0	0	0	1	0
Olfr429	1	0	0	0	0	0
Mrgprb2	1	1	0	0	0	0
Lyz1	0	0	0	1	1	0
Il12rb2	1	1	0	0	0	0
Spink8	0	0	0	1	0	0
Spink7	0	0	0	1	0	0
Spink5	0	0	0	1	0	0
Spink4	0	0	0	1	0	0
Spink1	0	0	0	1	1	1
Fam172a	0	0	0	1	0	0
Spaca4	1	0	0	0	0	0
Tctn1	0	0	0	1	1	1
Calm2	0	0	0	0	0	1
Habp2	0	0	0	1	0	0
Calm1	0	0	0	0	0	1
Lrrc17	0	0	0	1	0	0
Olfr1123	1	0	0	0	0	0
Scg3	0	0	0	1	0	0
Scg2	0	0	0	1	0	0
Clec11a	0	0	0	1	1	0
Klk1	0	0	0	1	1	0
Lta	0	0	0	1	1	1
C1qtnf9	0	0	0	1	0	0
Klk4	0	0	0	1	0	0
Klk5	0	0	0	1	0	0
Klk6	0	0	0	1	0	0
Klk7	0	0	0	1	0	0
Klk8	0	0	0	1	0	0
Klk9	0	0	0	1	0	0
Agt	0	0	0	1	1	1
Crhr2	1	1	1	0	0	0
Crhr1	1	1	1	0	0	0
Cpa2	0	0	0	1	0	0
Cpa3	0	0	0	1	0	0
Calcr	1	1	1	0	0	0
Cpa1	0	0	0	1	0	0
Cpa6	0	0	0	1	0	0
Cpa4	0	0	0	1	0	0
Fgf23	0	0	0	1	1	1
Pcsk2	0	0	0	1	0	0
Clec1a	1	0	0	0	0	0
Clec1b	1	0	0	0	0	0
Calca	0	0	0	1	1	1
Olfr518	1	0	0	0	0	0
Olfr519	1	0	0	0	0	0
Clec4a2	1	0	0	0	0	0
Pcsk1	0	0	0	1	0	0
Wfikkn2	0	0	0	1	0	0
Wfikkn1	0	0	0	1	0	0
Fyn	0	0	0	0	0	1
Olfr1416	1	0	0	0	0	0
Crtac1	0	0	0	1	0	0
C1qtnf7	0	0	0	1	0	0
Olfr1019	1	0	0	0	0	0
Olfr1014	1	0	0	0	0	0
Brinp3	0	0	0	1	0	0
Pla2r1	1	1	1	0	0	0
Pthlh	0	0	0	1	1	1
Ogn	0	0	0	1	0	0
Olfr1490	1	0	0	0	0	0
Ghsr	1	1	1	0	0	0
Gusb	0	0	0	1	0	0
Olfr1494	1	0	0	0	0	0
Olfr1497	1	0	0	0	0	0
Olfr1496	1	0	0	0	0	0
Il7r	1	1	1	0	0	0
Eda2r	1	1	1	0	0	0
Tmem126a	0	0	1	0	0	0
Csf1r	1	1	1	0	0	0
Amtn	0	0	0	1	0	0
Prg4	0	0	0	0	0	1
Prg3	0	0	0	1	0	0
Prg2	0	0	0	1	0	0
Lgi2	0	0	0	1	0	0
Lgi3	0	0	0	1	0	0
Rptn	0	0	0	0	0	0
Il4i1b	0	0	0	1	0	0
Cfhr1	0	0	0	1	0	0
Itgbl1	0	0	0	1	0	0
Olfr1303	1	0	0	0	0	0
Ecscr	1	0	0	0	0	0
Olfr1309	1	0	0	0	0	0
Gnai2	0	0	0	0	1	1
Adra2a	1	1	1	0	0	0
Adra2b	1	1	1	0	0	0
Adra2c	1	0	0	0	0	0
Olfr714	1	0	0	0	0	0
Bche	0	0	0	1	0	0
Ppt1	0	0	0	1	0	0
Rs1	0	0	0	1	0	0
Glb1l2	0	0	0	1	0	0
Mia	0	0	0	1	1	0
Amhr2	1	1	1	0	0	0
Apcs	0	0	0	1	0	0
Mif	0	0	0	1	0	1
Rhag	0	1	0	0	0	0
Icam4	1	0	0	0	1	1
Icam2	1	0	0	0	1	1
Icam1	1	0	0	0	1	1
Mip	0	1	1	0	0	0
Pyy	0	0	0	1	1	1
Tcn2	0	0	0	1	1	1
Dmkn	0	0	0	1	0	0
Mmp8	0	0	0	1	0	0
Mmp9	0	0	0	1	1	1
Igfl3	0	0	0	1	1	0
Mmp7	0	0	0	1	1	1
Brs3	1	1	1	0	0	0
Eddm3b	0	0	0	1	0	0
Mmp2	0	0	0	1	1	1
Mmp3	0	0	0	1	0	0
Fcrl1	1	0	0	0	0	0
Spata20	0	0	0	1	0	0
Jmjd6	0	1	0	0	0	0
Pnp2	0	0	0	1	0	0
Btn1a1	1	0	0	0	0	0
Susd2	1	0	0	0	0	0
Col26a1	0	0	0	0	0	0
Sort1	1	1	1	0	0	0
Pgf	0	0	0	1	1	1
Tril	1	0	0	0	0	0
Eda	0	0	0	0	0	1
Pgc	0	0	0	1	0	0
Cd209a	1	1	0	0	0	0
Olfr993	1	0	0	0	0	0
Pgr	1	0	1	0	0	0
Cd8b1	1	0	0	0	0	0
F2rl3	1	1	0	0	0	0
F2rl2	1	1	1	0	0	0
F2rl1	1	1	1	0	0	0
Nucb2	0	0	0	1	1	0
Olfr309	1	0	0	0	0	0
Igf2	0	0	0	1	1	1
Cdh10	0	1	0	0	0	0
Ngf	0	0	0	1	1	1
Igf1	0	0	0	1	1	1
Apob	0	0	0	1	1	1
Mrgpre	1	0	0	0	0	0
Cdh19	0	1	0	0	0	0
Mrgpra2b	1	0	0	0	0	0
Entpd5	0	0	0	1	0	0
Apoh	0	0	0	1	0	0
Olfr65	1	0	0	0	0	0
Olfr64	1	0	0	0	0	0
Olfr66	1	0	0	0	0	0
Olfr464	1	0	0	0	0	0
Olfr63	1	0	0	0	0	0
Antxrl	1	0	0	0	0	0
Olfr69	1	0	0	0	0	0
Olfr68	1	0	0	0	0	0
Rims2	0	0	0	0	1	0
Sod3	0	0	0	1	0	0
Il1rapl1	1	1	0	0	0	0
Pld1	0	0	1	0	0	0
Pld2	0	1	0	0	0	0
Il1rapl2	1	0	0	0	0	0
Olfr853	1	0	0	0	0	0
Mgl2	0	1	0	0	0	0
Mgp	0	0	0	1	0	0
Cd248	0	0	0	0	0	0
Dpt	0	0	0	1	0	0
Antxr1	1	0	0	0	0	0
Hgfac	0	0	0	1	0	0
Antxr2	1	0	0	0	0	0
Gzmm	0	0	0	1	0	0
Il1f10	0	0	0	1	1	0
Gzmk	0	0	0	1	0	0
Fshr	1	1	1	0	0	0
Shh	0	0	0	1	1	1
Htr1f	1	1	0	0	0	0
Htr1a	1	1	0	0	0	0
Htr1b	1	1	0	0	0	0
Slc25a25	0	0	0	1	0	0
Wnt2b	0	0	0	1	0	1
Ptgs2	0	0	0	0	1	1
Ptgs1	0	0	0	1	0	0
Olfr267	1	0	0	0	0	0
Serpina3m	0	0	0	1	0	0
Cfh	0	0	0	1	1	1
Cfi	1	0	0	0	0	0
Cfd	0	0	0	1	0	0
Serpina3c	0	0	0	1	0	0
Cfb	0	0	0	1	0	0
Gpc4	0	1	1	0	0	0
Cfp	0	0	0	1	0	0
Gpc5	0	1	0	1	0	0
Afm	0	0	0	1	0	0
Tfr2	1	1	1	0	0	0
Gcg	0	0	0	0	0	1
Adgre5	1	0	0	0	0	0
Fcgr2b	1	0	0	0	0	0
Thra	1	0	0	0	0	0
Cd14	1	0	0	0	1	1
Dbnl	0	0	0	1	0	0
Afp	0	0	0	1	0	0
Lum	0	0	0	1	0	0
Cd19	0	1	1	0	0	0
Hsd17b12	0	0	0	0	0	0
Olfr3	1	0	0	0	0	0
Ifnlr1	1	1	0	0	0	0
Hsd17b11	0	0	0	1	0	0
Adgrb1	1	0	0	0	0	0
Olfr19	1	0	0	0	0	0
Gcgr	1	1	1	0	0	0
Vasp	0	0	0	0	1	1
Il2ra	1	1	1	0	0	0
Il2rb	1	1	1	0	0	0
Cspg4	0	1	0	0	0	0
Il2rg	1	1	1	0	0	0
Mst1r	1	1	1	0	0	0
Tgfb2	0	0	0	1	1	1
Cercam	1	0	0	0	0	0
Lamc2	0	0	0	1	1	1
Apoc4	0	0	0	1	0	0
Tgfb3	0	0	0	1	1	1
Tnfrsf11a	1	1	1	0	0	0
Tnfrsf11b	1	1	1	0	0	0
F12	0	0	0	1	1	0
F10	0	0	0	1	1	0
F11	0	0	0	1	1	0
Mc5r	1	1	1	0	0	0
Il1rl1	1	0	1	0	0	0
Grem2	0	0	0	1	0	0
Dbh	0	0	0	1	0	0
Grem1	0	0	0	1	1	0
Klkb1	0	0	0	1	0	0
Pla2g12b	0	0	0	1	0	0
Olfr459	1	0	0	0	0	0
Kctd8	1	0	0	0	0	0
Cacng5	1	0	0	0	0	0
Ndnf	0	0	0	1	0	0
Hyal2	1	0	0	0	0	0
Lpl	0	0	0	1	1	0
Dpep1	0	0	0	1	0	0
Ntn1	0	0	0	1	1	1
Cacng7	1	0	0	0	0	0
Gdf1	0	0	0	1	0	0
Adora2a	1	0	0	0	0	0
Ghrhr	1	1	1	0	0	0
Ntn3	0	0	0	1	1	1
Ntng1	1	0	0	0	1	1
Ntng2	1	0	0	0	1	1
Olfr1155	1	0	0	0	0	0
Olfr1156	1	0	0	0	0	0
Rln3	0	0	0	1	1	1
Olfr677	1	0	0	0	0	0
Olfr1151	1	0	0	0	0	0
Olfr675	1	0	0	0	0	0
Ntn5	0	0	0	1	0	0
C1ql3	0	0	0	1	0	0
Msmb	0	0	0	1	0	0
Glb1l	0	0	0	1	0	0
Olfr1258	1	0	0	0	0	0
Ephx3	0	0	0	1	0	0
Pilra	1	0	0	0	0	0
Col4a5	0	0	0	1	1	1
Chsy1	0	0	0	1	0	0
Pmch	0	0	0	1	1	1
Dusp18	0	0	0	0	1	0
Cd160	1	0	0	0	0	1
Itpr2	1	0	0	0	0	0
Itpr3	1	0	0	0	0	0
Hhip	0	1	1	0	0	0
Vcam1	1	0	0	0	1	1
Olfr705	1	0	0	0	0	0
Gucy2c	1	1	1	0	0	0
Gucy2e	1	1	0	0	0	0
Gucy2f	1	0	0	0	0	0
Arsi	0	0	0	1	0	0
Optc	0	0	0	1	0	0
Arsk	0	0	0	1	0	0
Paqr9	1	0	0	0	0	0
Paqr8	1	0	0	0	0	0
Erap1	0	1	0	0	0	0
Vwc2l	1	0	0	1	0	0
Fcer1a	1	1	0	0	0	0
Dysf	0	1	1	0	0	0
Ly96	1	1	1	0	0	0
F13b	0	0	0	1	0	0
Paqr3	1	0	0	0	0	0
Paqr5	1	0	0	0	0	0
Stoml2	1	0	0	0	0	0
Igfbpl1	0	0	0	1	0	0
Pcolce2	0	0	0	1	0	0
Btd	0	0	0	1	0	0
Tnfsf9	0	0	0	0	0	1
Tnfsf8	0	0	0	1	1	1
Esm1	0	0	0	1	0	0
Btc	0	0	0	1	1	1
Cul5	1	0	0	0	0	0
Npsr1	1	1	1	0	0	0
Uts2r	1	1	1	0	0	0
Angptl2	0	0	0	1	1	0
Slc20a2	1	0	0	0	0	0
Slc20a1	1	0	0	0	0	0
Taar1	1	0	0	0	0	0
Taar2	1	0	0	0	0	0
Alb	0	0	0	1	1	0
Calr	0	0	0	1	1	1
Fstl5	0	0	0	1	0	0
Taar9	1	0	0	0	0	0
Calu	0	0	0	1	0	0
Pappa	0	0	0	1	0	0
Vcp	0	0	0	1	0	0
Bglap	0	0	0	1	0	0
Loxl3	1	0	0	1	0	0
Grin1	1	0	0	0	0	0
Cadm1	1	0	1	0	0	0
Dcbld2	0	1	0	0	0	0
H2-K1	1	0	0	0	1	0
Bmpr2	1	1	1	0	0	0
Cd24a	0	0	0	0	0	1
Scarb2	0	0	1	0	0	0
Lyzl4	0	0	0	1	0	0
Cdh8	0	0	0	0	0	0
Lyzl6	0	0	0	1	0	0
Mfap4	0	0	0	1	0	0
Mfap2	0	0	0	1	1	1
Cdh1	1	0	0	0	1	1
Cdh2	1	1	0	0	0	0
Guca1a	0	0	0	0	0	0
Plxdc2	1	0	0	0	0	0
Cdh7	0	1	0	0	0	0
Cdh6	0	1	0	0	0	0
Slpi	0	0	0	1	1	1
Tas2r131	1	0	0	0	0	0
Tas2r135	1	0	0	0	0	0
Tas2r136	1	0	0	0	0	0
Tas2r137	1	0	0	0	0	0
Tas2r138	1	0	0	0	0	0
Tas2r139	1	0	0	0	0	0
Hyal1	0	0	0	1	0	0
Htr2b	1	1	0	0	0	0
Col6a1	0	0	0	1	1	0
Kir3dl1	1	0	0	0	0	0
Col6a3	0	0	0	1	1	0
Col6a2	0	0	0	1	1	0
Col6a5	0	0	0	1	0	0
Col6a6	0	0	0	1	0	0
Olfr1209	1	0	0	0	0	0
Ghrh	0	0	0	1	1	1
Ghrl	0	0	0	1	1	1
Olfr1201	1	0	0	0	0	0
Olfr1205	1	0	0	0	0	0
Olfr1206	1	0	0	0	0	0
Olfr411	1	0	0	0	0	0
Prl3b1	0	0	0	0	0	1
Ucn	0	0	0	1	1	1
Tnfsf13b	0	0	0	1	1	1
Slc52a2	1	0	0	0	0	0
1700029I15Rik	0	0	0	1	0	0
Npy5r	1	1	1	0	0	0
Apela	0	0	0	0	0	1
Prl4a1	0	0	0	0	0	1
Ccr8	1	1	1	0	0	0
Olfr935	1	0	0	0	0	0
Aanat	0	0	0	0	1	0
1600012H06Rik	0	0	0	1	0	0
Pcsk9	0	0	0	1	1	1
Jam2	0	0	0	0	0	1
Gm2564	0	0	0	1	1	0
Ddr2	1	1	1	0	0	0
Thsd4	0	0	0	1	0	0
Ddr1	1	1	0	0	0	0
Pcsk6	0	0	0	0	0	0
Tnfsfm13	0	0	0	1	0	0
Lair1	1	0	0	0	0	0
Glipr1l3	0	0	0	1	0	0
Otoa	0	0	0	1	0	0
Hpse2	0	0	0	1	0	0
Vstm2b	1	0	0	0	0	0
Anpep	1	0	0	0	0	0
Tnfsf4	0	0	0	1	1	1
Gnptg	0	0	0	1	0	0
Vnn1	0	0	0	1	0	0
Olfr733	1	0	0	0	0	0
Mrgpra2a	1	0	0	0	0	0
Olfr55	1	0	0	0	0	0
Olfr56	1	0	0	0	0	0
Olfr57	1	0	0	0	0	0
Pcsk1n	0	0	0	1	0	0
Rrh	1	0	0	0	0	0
Wnt16	0	0	0	1	1	0
Cndp1	0	0	0	1	0	0
Wnt11	0	0	0	1	1	1
Smpdl3b	0	0	0	1	0	0
C1ql1	0	0	0	1	0	0
C1ql2	0	0	0	1	0	0
Smpdl3a	0	0	0	1	0	0
C1ql4	0	0	0	1	0	0
Kcnj6	0	0	1	0	0	0
Igflr1	1	1	0	0	0	0
Kcnj4	0	1	1	0	0	0
Il12rb1	1	1	1	0	0	0
Vcan	0	0	0	1	1	1
Cd163	1	0	0	0	0	0
Ulbp1	0	0	0	1	0	0
Lgals9	0	0	0	0	0	1
Lgals8	0	0	0	0	0	1
Trpv5	0	0	1	0	0	0
Ptgdr	1	1	1	0	0	0
Ptgds	0	0	0	1	0	0
Lgals1	0	0	0	0	0	0
Scn5a	0	1	1	0	0	0
Ces1d	0	0	0	1	0	0
Dcn	0	0	0	1	1	0
Otos	0	0	0	1	0	0
Zfyve27	1	0	0	0	0	0
Gm10591	0	0	0	1	1	0
Dcc	1	1	1	0	0	0
Tnfrsf21	1	1	1	0	0	0
Tnfrsf25	1	1	1	0	0	0
Cklf	0	0	0	1	0	0
A1bg	0	0	0	1	0	0
Adgrf1	1	0	0	0	0	0
Adgrf2	1	0	0	0	0	0
Adgrf3	1	0	0	0	0	0
Adgrf4	1	0	0	0	0	0
Adgrf5	1	0	0	0	0	0
Srpx	0	0	0	1	0	0
Pamr1	0	0	0	1	0	0
Rbp3	0	0	0	1	1	1
Rbp4	0	0	0	1	1	1
Hsp90aa1	0	0	0	0	1	1
Anxa5	0	0	0	1	0	0
Hdgf	0	0	0	1	0	0
Gm21104	0	0	0	1	1	0
Serpinc1	0	0	0	1	1	0
Nme3	0	0	0	1	0	0
Nt5e	0	1	0	0	0	0
Col9a3	0	0	0	1	1	1
Trpv6	0	0	1	0	0	0
Col9a1	0	0	0	1	1	1
Ifng	0	0	0	1	1	1
Ihh	0	0	0	1	1	1
Colec12	1	0	0	0	0	0
Gpr150	1	0	0	0	0	0
Colec10	0	0	0	1	0	0
Colec11	0	0	0	1	0	0
Chit1	0	0	0	1	0	0
Mamdc2	0	0	0	1	0	0
Acvrl1	1	1	1	0	0	0
Nrxn1	1	1	1	0	0	0
Ngrn	0	0	0	1	0	0
Ndp	0	0	0	1	1	0
Rnls	0	0	0	1	0	0
Prtn3	0	0	0	1	0	0
Pi15	0	0	0	1	0	0
Fcer2a	1	0	1	0	0	0
Olfr444	1	0	0	0	0	0
Olfr446	1	0	0	0	0	0
Olfr447	1	0	0	0	0	0
Olfr448	1	0	0	0	0	0
Olfr449	1	0	0	0	0	0
Ccl2	0	0	0	1	1	1
Gm13309	0	0	0	1	1	0
Gpr135	1	1	0	0	0	0
Mcfd2	0	0	1	0	0	0
Nr5a2	1	0	0	0	0	0
Nr5a1	1	0	0	0	0	0
Gpr132	1	0	0	0	0	0
Olfr288	1	0	0	0	0	0
Gpr139	1	0	0	0	0	0
Olfr669	1	0	0	0	0	0
Esrrg	1	0	0	0	0	0
Ephb3	1	1	1	0	0	0
Olfr663	1	0	0	0	0	0
Chrdl1	0	0	0	1	0	0
Ntrk1	1	1	1	0	0	0
Ntrk2	1	1	1	0	0	0
Chrdl2	0	0	0	1	0	0
Postn	0	0	0	1	0	1
Taar8c	1	0	0	0	0	0
Abcc8	1	0	0	0	0	0
Abcc9	1	0	0	0	0	0
Cntfr	1	1	1	0	0	0
Syndig1	1	0	0	0	0	0
Brinp2	0	0	0	1	0	0
Il10ra	1	1	1	0	0	0
Il10rb	1	1	1	0	0	0
Cmklr1	1	1	1	0	0	0
Kdr	1	1	1	0	0	0
Il18	0	0	0	1	1	1
Il19	0	0	0	1	1	1
Olfr716	1	0	0	0	0	0
Hpx	0	0	0	1	0	1
Olfr713	1	0	0	0	0	0
Il10	0	0	0	1	1	1
Il11	0	0	0	1	1	1
Il13	0	0	0	1	1	1
Il15	0	0	0	1	1	1
Il16	0	0	0	1	1	1
Igfbp2	0	0	0	1	0	0
Igfbp3	0	0	0	1	0	0
Igfbp1	0	0	0	1	0	0
Igfbp6	0	0	0	1	0	0
Olfr1564	1	0	0	0	0	0
Igfbp4	0	0	0	1	1	1
Igfbp5	0	0	0	1	0	1
Pkhd1	1	0	0	0	0	0
Il17re	1	0	1	0	0	0
Il17rd	1	0	1	0	0	0
Il17rc	1	1	1	0	0	0
Il17rb	1	1	1	0	0	0
Il17ra	1	1	1	0	0	0
Lalba	0	0	0	1	0	0
Gpr3	1	0	1	0	0	0
Igf1r	1	1	1	0	0	0
Gpr6	1	0	0	0	0	0
Gpr4	1	0	0	0	0	0
Olfr854	1	0	0	0	0	0
Olfm3	1	0	0	1	0	0
Olfm2	1	0	0	1	1	0
Olfm1	1	0	0	1	0	0
Nrp2	1	1	1	0	0	0
Csf3r	1	1	1	0	0	0
Olfm4	0	0	0	1	0	0
Clec2d	0	0	0	0	0	1
Rnase1	0	0	0	1	0	0
Plxnb2	1	1	1	0	0	0
Ccl7	0	0	0	0	0	1
Aqp2	0	0	1	0	0	0
Rnase4	0	0	0	1	0	0
Aqp1	1	1	0	0	0	0
Rnase9	0	0	0	1	0	0
Il27ra	1	1	1	0	0	0
Itln1	1	0	0	0	0	0
Cgn	0	0	0	0	1	0
Olfr985	1	0	0	0	0	0
Il1b	0	0	0	1	1	1
Nlgn3	1	0	0	0	1	1
Ccl4	0	0	0	1	1	1
Olfr1360	1	0	0	0	0	0
Mpped1	0	0	0	1	0	0
Olfr986	1	0	0	0	0	0
Cmtm8	1	0	0	0	0	0
Chrng	1	0	0	0	0	0
Chrnd	1	0	0	0	0	0
Chrne	1	0	0	0	0	0
Cacnb1	1	0	0	0	0	0
Fam180a	0	0	0	1	0	0
Tas2r121	1	0	0	0	0	0
Tas2r120	1	0	0	0	0	0
Tas2r126	1	0	0	0	0	0
Sbsn	0	0	0	1	0	0
Pls1	0	0	0	0	0	0
Erp44	0	0	0	1	0	0
Iapp	0	0	0	1	1	1
Apcdd1	0	1	1	0	0	0
Neto1	1	0	0	0	0	0
Npb	0	0	0	1	1	1
Prl3a1	0	0	0	0	0	1
Cmtm6	1	0	0	0	0	0
Olfr1211	1	0	0	0	0	0
Agr2	0	1	1	1	0	0
Agr3	0	0	0	1	0	0
Olfr791	1	0	0	0	0	0
Tnnc2	0	0	0	0	0	0
Ctla4	0	0	0	0	0	1
Cmtm5	1	0	0	0	0	0
Col8a2	0	0	0	1	0	0
Camp	0	0	0	1	1	1
Gpr27	1	0	0	0	0	0
Tigit	1	0	0	0	0	0
Nr2e1	1	0	0	0	0	0
Mertk	1	1	1	0	0	0
Nr2e3	1	0	0	0	0	0
Ccl8	0	0	0	0	0	1
Fzd10	1	1	1	0	0	0
Npw	0	0	0	1	1	1
Fzd1	1	1	1	0	0	0
Fzd2	1	1	1	0	0	0
Fzd3	1	1	1	0	0	0
Fzd4	1	1	1	0	0	0
Fzd5	1	1	1	0	0	0
Fzd6	1	1	1	0	0	0
Fzd7	1	1	1	0	0	0
Fzd8	1	1	1	0	0	0
Fzd9	1	1	1	0	0	0
Plxna1	1	1	1	0	0	0
Agrp	0	0	0	1	1	1
Shisa9	1	0	0	0	0	0
Agrn	1	0	0	0	1	1
Ebp	1	0	0	0	0	0
Hcst	1	0	0	0	0	0
Sftpa1	0	0	0	1	1	1
Pip	0	0	0	1	1	0
Cxcl10	0	0	0	1	1	1
Guca2b	0	0	0	1	1	1
Cxcl12	0	0	0	1	1	1
Cxcl14	0	0	0	1	0	1
Cxcl17	0	0	0	1	0	1
Cxcl16	1	0	0	0	1	1
Otogl	0	0	0	1	0	0
Olfr1028	1	0	0	0	0	0
Masp2	0	0	0	1	0	0
Dspp	0	0	0	0	0	1
Olfr43	1	0	0	0	0	0
Pxdn	0	0	0	1	0	0
Zpbp2	0	0	0	1	0	0
Tnfrsf1b	1	1	1	0	0	0
Tnfrsf1a	1	1	1	0	0	0
Olfr1396	1	0	0	0	0	0
Met	1	1	1	0	0	0
Edem2	0	0	0	1	0	0
Mettl7b	0	0	0	1	0	0
Npy4r	0	0	1	0	0	0
Fcamr	1	0	0	0	0	0
Olfr441	1	0	0	0	0	0
Fndc5	0	0	0	1	0	0
Gpihbp1	0	0	1	0	0	0
Fndc7	0	0	0	1	0	0
Hfe	1	1	0	0	0	0
Cd177	0	1	0	0	0	0
Gphb5	0	0	0	1	0	0
Sema6d	1	0	0	0	1	1
Sema6b	1	0	0	0	0	1
Sema6c	1	0	0	0	0	1
Sema6a	1	0	0	0	1	1
Podxl	0	0	0	0	0	1
Tradd	0	0	1	0	0	0
Wfdc8	0	0	0	1	0	0
Itih5l-ps	0	0	0	1	0	0
C1qa	0	0	0	1	1	1
Wfdc1	0	0	0	1	0	0
Smoc2	0	0	0	1	0	0
Smoc1	0	0	0	1	0	0
Wfdc2	0	0	0	1	0	0
Wfdc5	0	0	0	1	0	0
Tnfrsf18	1	1	1	0	0	0
Tnfrsf19	1	1	0	0	0	0
Olfr71	1	0	0	0	0	0
Vegfd	0	0	0	0	0	1
Vegfa	0	0	0	1	1	1
Ereg	0	0	0	1	1	1
Srpx2	0	0	0	1	0	1
Vegfb	0	0	0	1	1	1
Sctr	1	1	1	0	0	0
Bsph1	0	0	0	1	0	0
Tnfrsf13c	1	1	1	0	0	0
Ide	0	0	0	1	0	0
Olfr368	1	0	0	0	0	0
Prss12	0	0	0	1	0	0
Ntsr2	1	1	1	0	0	0
Ntsr1	1	1	1	0	0	0
Trpc3	0	1	0	0	0	0
Trpc1	1	0	0	0	0	0
Trpc6	0	0	1	0	0	0
Olfr78	1	0	0	0	0	0
Nptx1	0	0	0	1	0	1
Trpc5	0	1	1	0	0	0
Prl3c1	0	0	0	0	0	1
Olfr287	1	0	0	0	0	0
Obp2a	0	0	0	1	0	0
Tnr	0	0	0	1	0	0
Insl5	0	0	0	1	1	1
Tspan12	0	0	1	0	0	0
Insl6	0	0	0	1	0	0
Celsr3	1	0	1	0	0	0
Celsr2	1	0	0	0	0	0
Celsr1	1	1	0	0	0	0
Tspan17	0	0	1	0	0	0
